review_id,star_rating,helpful_votes,total_votes,vine,verified_purchase
R1QB3EUET9N2NI,5,0,0,N,Y
R3K0I50MK6VDNB,4,0,1,N,N
R2EPX3DRDM1WXT,5,0,0,N,Y
R13LN89MVJFFN5,5,1,1,N,Y
R3U0DVY1J53PS6,5,0,0,N,Y
R36I1GJETVLEE2,1,1,1,N,Y
RQM6Q11I2MRSY,5,0,0,N,Y
R1VQXG0PVEEZCU,3,0,0,N,Y
R3FN0D5QVP8OKF,5,0,0,N,Y
RCVY3AGPFWUZN,5,0,0,N,Y
R2SEV7FNUR4XLC,5,0,0,N,Y
R7EDCPV5U1FG3,1,0,0,N,N
R3DN017YWWMO18,5,1,1,N,Y
RSN68W35M9LCO,5,0,0,N,Y
R2G20T7N6L3HO1,1,0,0,N,N
R2ABC4Y9XRTMZQ,3,0,0,N,N
R2FC19WKIJLSFH,5,0,0,N,Y
R2ARAJOYQBQGWH,2,1,2,N,Y
R3FVXTMUO46UZM,3,1,1,N,Y
RWVUK4SN3DHAQ,3,3,4,N,Y
RBAIJXGL5CDJR,4,0,0,N,Y
R9NXA20997KF2,5,0,0,N,Y
R35AP0E5P6L2V5,5,0,0,N,Y
RVHSPTOSWKSJJ,5,1,2,N,Y
R3TEETP8ATONAT,5,0,0,N,Y
REVOIUULM44P8,5,2,2,N,Y
R1X9WHRLCV92NJ,5,0,0,N,Y
R2MP2YTDUAH31D,5,1,1,N,Y
R23J9G7M3N1LE7,5,0,0,N,Y
R3FXRP6ZOT5JUT,3,0,0,N,Y
R2VMIFM3D29E56,1,1,3,N,Y
R2GWMZ5T8Z231T,5,0,0,N,Y
R1APLZXKZW9D73,5,1,1,N,Y
R22RFGTSPXGUQP,1,12,13,N,N
RI6YTG5K5DW2X,5,1,1,N,Y
R34IH5JVMOLGOS,5,0,0,N,Y
R30JZSZUDU9W3,4,6,6,N,Y
R9GEQ9JYLFWHK,5,0,0,N,Y
R1TY15N0EYBMNB,4,0,0,N,Y
R1M4KIQWBPBUNE,5,1,1,N,Y
RORT3R1D3TW06,5,1,1,N,Y
R2CE2TXYBSUAWW,4,1,3,N,N
R2RM2MIAO8EO6K,2,1,1,N,N
R17LM0T8FJY09W,1,2,2,N,N
R1V0565HOXDD5Q,1,1,1,N,Y
R1WO93LH3SRNDX,5,0,0,N,Y
R5XKK92G5N9FU,1,18,22,N,N
RYMOWYW38WKOB,5,35,35,N,N
R2KWZG92LE3EKT,5,0,1,N,Y
R60BJNY3339MJ,5,0,0,N,Y
RP4DVQFVKU0M1,5,0,0,N,Y
R2VFPGL9ATNTOY,5,4,6,N,N
R1BHNZOFY3RT9E,5,0,0,N,Y
R2P0UVK6PTM5L5,5,0,0,N,Y
R3U7UE07VIOANL,4,0,0,N,Y
RJMCOQ3NMU0EA,1,5,5,N,Y
R2TF4ACIVPFW84,1,1,1,N,N
R2LKDZD9DGKGIC,5,0,0,N,Y
R2NRUTQKLHZJI,5,0,1,N,Y
RDQMVAQUD2NIX,5,3,3,N,Y
R39IO1IPXF12MM,5,1,1,N,Y
R1VEFGLUT9UHAC,5,0,0,N,Y
R34UG1NC1J288Q,5,14,14,N,N
RGKTT2RWIZ1WQ,5,0,0,N,Y
R32VEDI21SUS4V,5,1,1,N,Y
R592U541E82J8,2,2,3,N,N
R37O3DNHQFW1X7,2,0,0,N,Y
R2ICXAC0T085A9,5,0,0,N,Y
R27EK8MICG9EWX,3,8,10,N,N
R2QFOOD4PXCO2I,5,0,0,N,Y
R2DLMAPX6WTO6O,5,0,0,N,Y
R2YM22O8OBNQB9,5,1,1,N,Y
R19L1U13SAQEQ8,5,0,0,N,Y
RUDMWG5YX1GTY,5,2,2,N,Y
R1A80S2LTLZ2YG,1,0,1,N,Y
R2H8JS5E74N7IO,5,0,0,N,Y
R5DWX7K6KCH1A,5,1,1,N,Y
R38I8X5MLY90A,2,0,0,N,Y
R1ARHIHFL8NK6X,5,0,2,N,Y
R10FD4BEU38XNO,2,0,0,N,Y
R1GLS1B44BIXY,5,0,0,N,Y
R34B3OPWM1Z77X,5,0,0,N,Y
R2FMRZWGHXQDN4,5,0,0,N,Y
R2MAAWXZCTMW44,1,0,0,N,Y
R35IP61CWTT25F,4,0,0,N,Y
R126WO7YHEE2JD,5,0,0,N,Y
R1FZO79O79SO0N,1,3,7,N,N
R3OSC956TANU8S,5,0,1,N,Y
R1TFXJWB2SK66F,5,0,0,N,Y
R2LP4C2P9LRX34,5,0,0,N,Y
R354ZG794Q5KJQ,3,0,0,N,Y
R3QAAN5TFTY6V0,5,0,0,N,Y
R1IGVGE4BO97VS,5,0,1,N,Y
R32YB6SU2RNTEJ,5,0,0,N,Y
R2V6DVQJUP32OH,5,12,12,N,Y
R2HNYY29FLGCBQ,4,0,0,N,Y
R2W0C7SA2IC4Y6,5,0,0,N,Y
RIUOHP7HKGTXL,5,0,0,N,Y
R34W3MJZA531OU,5,0,0,N,Y
R7VQSD7ZRW1ZQ,1,0,0,N,N
R282PDK5SZJ8PJ,4,0,0,N,Y
R24CFE51NL8SBQ,5,2,3,N,Y
RCZBEWGUJCNHB,2,1,2,N,Y
R39OIXET4IAUAV,5,0,0,N,Y
R1SY34TPAOGEG1,4,0,0,N,Y
R2W2J883TU8B30,5,0,0,N,Y
R23M98DUADGH4E,5,1,1,N,Y
R2BWWL0QXV5C5C,3,1,1,N,Y
R29F0E6EJJCEEM,4,0,0,N,Y
R2UHFYH2R7NPAE,5,1,1,N,Y
R38DJEQKB1WLS6,5,1,1,N,Y
R1LFCDQCHMS7CZ,5,3,3,N,Y
R1FVGKYOVBEZ22,4,1,1,N,Y
R6GBF6WXUNS71,5,0,0,N,Y
R310RBDDT9VWS8,3,1,1,N,N
R1HAKP14AAI39I,1,1,1,N,Y
R1Q0II5YOJBD2C,4,0,0,N,N
R3392QBJIOQ8KF,5,0,0,N,Y
R8M0R7SCLYQ4D,5,0,0,N,Y
R2WA22MFURTKNC,5,0,0,N,Y
RTLB0L2N6L3Y3,2,5,5,N,Y
RTFWBTLO70MTQ,4,0,0,N,Y
R1B4EJIUJZOUGV,5,0,0,N,Y
R4NRURYKQ6X19,2,3,3,N,N
R3DOTQ3LHVFWMT,5,0,0,N,Y
R25VUZ8BUY3GTT,5,0,0,N,Y
R1AXYFGWKKTRCY,5,0,0,N,Y
R20T49UYSZE6QW,5,5,5,N,Y
RURMROY0FY46T,5,0,0,N,Y
R1YDPLYQADG0JY,5,0,0,N,N
R1WU4A3QFKJ0HT,5,0,0,N,Y
R21VED4NKDGT0I,2,3,3,N,N
R3PX6RIDYPCQ93,5,0,0,N,Y
RTX6MZAVD5KRX,5,0,0,N,Y
R33VEBKNJBT7U0,4,1,1,N,Y
RBNUFQYSVBGW5,5,0,0,N,Y
R18DLCTSM9UO0L,4,0,0,N,Y
R9636PY10NTGZ,1,1,1,N,Y
R3L7YB0OXYHVZR,5,1,1,N,Y
R18C3NJW4FMFC2,1,0,0,N,Y
R2S8UYKS81XIUN,5,0,0,N,Y
R26IUPU3Q4O1HZ,4,1,1,N,Y
R2U8W969YPC1RR,5,1,1,N,Y
R1U8Y1K3TXVZOI,5,1,1,N,Y
R3P9BHGLASNPRV,5,0,0,N,Y
R30YTGHEV73R8Q,5,0,0,N,Y
R16SUT8OLO3AGC,5,0,0,N,Y
R1LYAPK2JLCDFA,4,0,0,N,N
R3Q6VZS5RZ3DW4,5,0,0,N,Y
R17C1J7UFJA2I2,5,1,1,N,Y
R3EH24O8FUA8TS,5,0,0,N,Y
R1XCRLQMNL97TF,5,0,0,N,Y
R27ID0XBPNERE9,5,0,0,N,Y
RJUCSFLPNIQE1,5,0,0,N,Y
R1OY4X8XBHQRGZ,5,0,0,N,N
R3SDZ19DJTABNG,4,0,0,N,Y
R2APRVCLGK5OX9,5,13,14,N,N
R3UHWFSEPXWPYC,5,0,0,N,N
R2KV0BU7OKR488,5,0,1,N,Y
R1APRW175TUQQG,5,0,0,N,Y
R28V9O3W0I2HHD,5,6,7,N,Y
R2AZGG1UU0OBUB,5,0,0,N,Y
R17QP0JNGLUV1,5,0,0,N,Y
RJL222RTKYTTF,5,0,0,N,Y
RNZ36HB1YSQ6G,5,1,1,N,Y
R3DAFNJ3Z4WZRG,5,0,0,N,Y
R3NJVGBPT61SPX,1,1,1,N,N
R2ELN4SUOVCZ5U,1,0,0,N,Y
R2VGUB15G6UL6R,3,0,0,N,Y
R28Z88YSKOFV61,1,11,11,N,N
R391I9UTRXTP93,1,10,12,N,N
R91ESZKK5FEFT,5,0,0,N,Y
R21752QLU2KE2B,5,0,0,N,Y
R3D34YNE0HWV2B,4,0,0,N,N
R1OUU0IOZG8E6U,5,9,9,N,N
RJWEATJ7J2W0R,5,0,0,N,Y
R18UJY02ZLTP2P,5,1,2,N,Y
RC410KZLDS6XK,5,0,0,N,Y
R3HAQM54PD3GEE,3,4,6,N,N
R3N3BAZ878TRUN,1,10,10,N,N
RYHZAVESD0T37,1,39,45,N,Y
R2K48MZ6FAOWWB,5,0,1,N,Y
RND3EBAA9K0B9,5,0,0,N,Y
R2OT3US6HYWWPC,5,1,1,N,Y
R2E7QG7WO1EOP2,5,0,0,N,Y
R33X8BJZXKUOZV,5,1,1,N,Y
R1U1GS71K8GIA5,4,0,0,N,N
R10NLVOOL6EDFO,1,1,1,N,Y
R1QMQUPSK851YK,4,0,0,N,Y
R218U7A3JP4FCV,2,0,0,N,Y
R2U9J9KVB8S140,5,1,1,N,Y
R2JJ0LDMOHLDPE,5,0,0,N,Y
R1G1GP2SKGWBEK,5,1,1,N,Y
R2R6OXOBCXHXF3,5,1,1,N,Y
R3OAX1VXYF8WCC,1,0,0,N,N
R2MHXTICGUDVE,1,3,3,N,N
R1J1KUJEWYVJXW,5,0,0,N,Y
R38J27CDK6IA2D,1,1,1,N,N
RT8GAEM6URD36,1,1,1,N,N
R34O87YRYJ0IZM,5,3,3,N,Y
RGKINXA8K4UNL,1,3,5,N,Y
R344L93DNZQJ02,1,0,0,N,N
R3283R29PBU3IE,4,6,6,N,N
R2SXRCIS84X4Q5,3,2,2,N,Y
R19Y5VBOF3BQOG,1,26,35,N,Y
RTQZESJX0VFUA,5,4,4,N,Y
R1VEOLQRA854BC,4,0,2,N,Y
R1XHBSJ5MUM8QF,5,0,0,N,Y
R13A7RPK6XWA0L,3,10,12,N,N
R1X4PHTD5PBV8X,5,0,0,N,Y
R5ISSAPR5IAXT,3,0,0,N,Y
R2KGWXSYS6J1I1,5,1,1,N,Y
RADH1TZA6GW54,5,0,0,N,Y
RY1VC6MNGO4MH,5,3,3,N,N
R28MBHGOG8JC6Y,5,0,0,N,Y
R3GT5JAJGWJCA3,4,0,0,N,Y
R179DP0XX83URY,5,1,1,N,Y
RSPF186GPYNCA,2,1,1,N,N
R8V9F3139Z1WZ,1,30,34,N,N
R1D7MGUVO9UOZ,5,0,0,N,Y
R2ZJSFB70WXUMA,1,1,1,N,N
R2OFWM84P9Q0JB,1,0,0,N,Y
R29PGMSM6YJKGJ,5,0,0,N,Y
R9KKC0KP58HW,4,0,0,N,N
R28VGOLR35RKD3,4,0,0,N,Y
R1OXQB1E5FZIGM,4,0,0,N,Y
R3BDSPDZCN1W9E,3,1,1,N,Y
R3LIXBVA6Q6MR0,5,0,0,N,Y
R2DZRT0OTTU632,1,0,1,N,Y
R2C4M5BK9S4TGD,3,1,1,N,Y
ROA0IAZOU4Y7Z,5,0,0,N,Y
R2AQRNAO9VK8XB,2,0,0,N,Y
R2Y8OB3KDEMJEI,4,0,0,N,N
R37MEFY5JY2MGY,1,0,1,N,Y
R3RSYEAHK503U,1,3,3,N,N
R92E3NVOVH1V9,1,2,2,N,N
R30PRPSUVLGQ0Z,5,0,0,N,Y
R2994YB2D2812H,4,6,7,N,Y
R20F3UZ8Z13NTY,1,5,6,N,N
RQ5W8JWYRWMED,5,0,0,N,Y
R3V51F6JE5Q4N6,5,0,0,N,Y
RVJHUMM7I802H,4,0,0,N,N
R1JJQIUZTY5QV1,1,3,5,N,Y
R6HVLXTL4NAXR,5,0,0,N,Y
R23BDO5DQIHYNZ,5,0,0,N,Y
R2A35H94BEZ1BC,5,0,1,N,Y
R2THOKPR0SGTBU,5,0,0,N,Y
R3RNY5OLY451GS,1,25,30,N,Y
R37NL1M38GPDIK,5,1,1,N,N
R28VRQA7N9TOMZ,4,0,0,N,Y
R26PPX22VGA0CA,5,0,0,N,Y
R2DH83S38DJ4LH,5,1,1,N,Y
R3RG7AYLZBA0XF,5,0,0,N,Y
R3MCNPXXX4QXKR,5,1,1,N,Y
R32I9NDO9J1U1O,1,0,0,N,Y
RYTPGOD3B610I,5,0,0,N,Y
R3EGKB374I5RFZ,1,2,2,N,Y
R37TLXHO4AMYIU,5,3,3,N,Y
R1UJ37RF08CRFM,1,3,3,N,N
R2FA4XQX6PH6FH,5,0,0,N,Y
RDXM0YN77DN1J,5,1,1,N,Y
R8G606Z8JG2OW,4,0,0,N,Y
R18MMSWZD4YQYJ,5,0,0,N,Y
R15Y2P9BVEM0LB,5,0,1,N,Y
R1O661YDXM2IUD,1,0,0,N,Y
R1MHFMO1L8AFEY,5,1,3,N,N
R7C5ZW83Q2569,5,3,3,N,N
R2RPZRJFS3XQWA,5,2,2,N,Y
R2Q061UH1EJHIJ,2,1,1,N,Y
R2EV85HOKSFRTJ,5,0,0,N,Y
RLDWJJV4ERVTO,4,0,0,N,Y
R24UO99LK2SYL1,4,0,1,N,Y
R3FD7PTABCJGD3,5,10,13,N,N
R17C56850B7DX5,5,0,0,N,Y
R2BVIAGH03Y3NV,5,0,0,N,N
R1U332AF3GPG33,5,0,0,N,N
R2G8167ETX6HE,5,13,14,N,N
R31N1UV3Z1VZT5,5,1,3,N,Y
R1IA6ENV6C60RF,4,0,0,N,Y
R2VYPNKJVYYZIF,5,1,1,N,Y
R1NQZTE6M9U6HY,5,0,0,N,Y
R16XXWBN4J8OQW,1,0,0,N,Y
R1Z3NVAT0XARBV,5,0,0,N,N
RMLHOMS2LLY96,5,14,16,N,Y
R3V8HCARPX82CR,1,0,0,N,Y
R3H36FWHISTVEV,5,0,0,N,Y
R2OW3CYWCMQH0M,3,8,8,N,Y
R35CIW540EETGK,5,0,0,N,Y
RFG4KB7T99N3A,1,0,1,N,Y
R16JCNM2N89YAI,1,1,1,N,N
R247COUMTR32LI,1,4,4,N,N
R2VOM5F1EBN6SF,5,1,1,N,Y
R1N5YH92XG5RF,5,0,0,N,Y
R1MYRCJSZ2V06T,5,0,0,N,Y
RXDWC6KT6PQSR,1,0,0,N,N
R22ZLEHBITTVXM,5,0,0,N,Y
REUGWY37V5VRE,4,1,4,N,Y
R139QPE70R53IE,5,1,1,N,Y
R2XXZBWUXDNVLZ,5,1,1,N,N
RSKQ2IIT0WGLV,5,0,0,N,Y
R1F2HIO2GBYM3V,5,0,0,N,Y
R1DW7OQXJAPQT7,5,0,0,N,Y
R2F0TUS62C3ZCN,5,0,0,N,Y
RYUKBK5V9DSN2,5,1,2,N,Y
RXEV17JF6FLEH,1,8,8,N,Y
RE4KOWRDXUC2R,5,0,0,N,Y
R1HB7VBE9D62A0,5,0,1,N,Y
R3HCC5MD5IY7D9,5,0,0,N,N
R1NLYSGRFSAB5R,5,1,1,N,Y
R194ZYTTCE81FN,1,1,1,N,Y
RDSZNI4IGEFNV,5,0,0,N,Y
R38P3VU33I30IY,4,0,0,N,N
R1X5R0R7FLYJRZ,5,0,0,N,Y
R2ZRMM9JWOWSO9,5,2,2,N,Y
R1A1A8Z9HI8338,5,1,1,N,Y
R12PIWJH99KGOB,4,0,0,N,Y
R3IUN285NJHL5P,5,0,0,N,Y
R1DZFYC94Y36I,5,0,0,N,Y
R3K6Y6BRYDBJ77,5,0,0,N,Y
R2X88G0ISW13I5,5,0,0,N,Y
RXEE55199YB29,5,0,0,N,N
R3L1L1HE3ECF80,4,1,1,N,N
R3P7WZMJKT4V85,5,0,0,N,Y
R63QTLACZIY6S,4,1,1,N,Y
R2LA30U166ZQZS,1,0,0,N,N
RHPPHKHCX197K,5,2,2,N,Y
RCQOMXN2F37TQ,1,3,7,N,N
R13X7UZHS10CB4,4,3,3,N,Y
R13DMKLWWSTVGZ,5,0,1,N,N
R3QPFQHA21EYG1,5,0,0,N,Y
RJZGY947OGZ8J,5,0,0,N,Y
R3HWDDGW1AWTXG,3,1,2,N,Y
R1I0O0L5TJH1EE,1,0,2,N,N
RPX82PDI6011P,5,2,2,N,Y
RTQ8Q65UG5N5R,5,0,0,N,N
R2QP2LBTR97RGT,5,0,0,N,Y
R1FYYXYL3USMAZ,4,1,2,N,Y
R7SZR2XAK95EM,4,1,1,N,Y
R2ZK72KASNZPAY,1,1,1,N,N
R8EKOSP4XG2NB,1,7,7,N,N
R29RH1Y223SVYK,5,1,1,N,Y
RBSVDUBTQ42QX,5,6,8,N,Y
RWUOFGY02GLNC,5,0,0,N,N
RH7LHYZ9QG7FU,1,3,3,N,N
R3Q1YCFRRUFHXV,5,1,1,N,Y
RCBF0PKTQJZ83,5,0,0,N,Y
RO4AW6B3ZG2J0,5,2,3,N,N
R2OAEQ3GK8C3NJ,5,0,0,N,Y
RTOMAE3PE3NTK,5,0,0,N,Y
R16DTAVVUMZXB9,5,0,0,N,Y
R1BLX0ZQK1JQ7J,3,1,1,N,Y
R2P0FC3IVJKSTQ,5,0,0,N,Y
R2QPN0HOGHKBXK,5,0,0,N,Y
ROTFW2GNCDF4B,5,0,0,N,Y
R10KDJHPMJ5WOF,5,0,0,N,Y
R2SJOJVCX97SX4,4,0,0,N,N
R34BCPZ3LFSQ6D,5,0,0,N,Y
RHIX5FSMI0A0G,5,2,5,N,Y
R2YQXMKJBI8GI5,1,0,2,N,N
R105Z5OSES589K,2,1,1,N,Y
R24WL16NVB7FXH,3,0,0,N,Y
RFYV3KFNILDO2,1,9,9,N,N
R2X1CVCFWT3YB9,5,1,1,N,N
RSVAHZPK5R52S,5,0,0,N,Y
R1THVGYEGV39LM,1,0,0,N,N
R16LPVYSJOAH1T,1,20,20,N,N
R336WN9MYBZWR9,5,0,0,N,Y
RIDZFE18C85QR,5,0,0,N,Y
R3T4B4QKZXUWC2,5,0,0,N,Y
R1WMD6JHGBHZ9U,2,3,3,N,Y
R2H72B5O2BFQXX,5,0,0,N,Y
R2X9MN0B0MVUZT,4,0,0,N,Y
R1PBRERKEOWT8L,5,0,2,N,Y
RQRI9RLX842CV,5,2,2,N,Y
R1W0C4LG83C1F4,1,2,2,N,Y
R3DJ3K3F8X33H2,5,0,0,N,Y
R2DSCJBIU5UAWI,1,0,1,N,Y
R1IQ7H3C5CF85I,5,1,1,N,Y
R25CGTI05W5RMZ,4,0,0,N,Y
R35P4D0NHKAGKE,5,1,1,N,Y
RGEK1WLS9V9OZ,4,1,1,N,Y
R3NB8P747GLP,5,0,0,N,Y
R39RPYXJUZ9X02,5,0,0,N,Y
R304K2EQXKUR88,5,2,2,N,Y
R3QVDT4LRFOUVI,4,0,0,N,Y
RPNU5SFYHBESF,5,0,0,N,Y
R240YJBNTL2M7H,5,0,0,N,Y
R2F96GBETIGJCV,4,0,0,N,Y
R13875Q5TV4HA7,3,0,0,N,Y
RY5BPRMD8EJWH,5,0,0,N,Y
R3V7OD4KGMSFJ,5,1,2,N,Y
R3ANZ8KKJH9VBP,5,0,0,N,Y
R2HQKEIIZ5W6NE,4,0,0,N,Y
R28CQDWVW46L4Z,5,0,0,N,Y
R2ONEZV7XNUYNE,1,5,6,N,N
R14TE0MJJF9LDB,5,0,0,N,N
R3MUCOOA9EISI2,5,1,1,N,Y
R1EMX7YBL092H,1,2,2,N,N
R2DVFZW5PGE18Y,5,0,0,N,Y
R3D0MDO5402SBD,4,4,5,N,Y
R37QULNF4RHX7E,4,0,0,N,Y
R3G6DYROL7KJ2Z,5,0,0,N,Y
R2MF39UIC5LPOV,1,2,2,N,N
R3GDOGPIMZFQJ9,5,0,0,N,Y
RPSF8VLJVJS4J,1,0,1,N,Y
R157ERY392N0Q6,1,0,0,N,N
R823OJE0MJI43,4,3,4,N,Y
R1WT25RTC682GN,4,0,0,N,Y
R626BU5BF6Y0W,5,0,0,N,Y
R24SJ1JQ4605RD,5,0,0,N,Y
R3CP05QP847IKA,5,0,0,N,Y
R253NCGI7H2QI9,5,0,0,N,Y
R35S7UTE4WUUV9,3,0,0,N,Y
R1V6LQYYQH9O28,5,0,0,N,Y
R24SZDZ9XX4MX5,5,1,1,N,N
RXMOJ2K6G5AZV,5,0,0,N,Y
R1ZP7LZ2M1BY7Y,5,0,0,N,Y
R1J9NTW9L7BRBR,1,0,1,N,Y
R2R521HWR74PDM,5,1,1,N,Y
R2V6PXBBC9ZPKZ,3,0,1,N,Y
R1K0GSJYQLZD1S,5,0,0,N,Y
R10JC3TKGUO7BT,5,1,2,N,Y
RALQWCJTLR0KT,5,0,0,N,Y
R2NGK3SCYR7SMP,5,0,0,N,Y
R5J0UVYSCJ3NM,4,1,1,N,Y
RRFXG3WNGSPL6,5,2,4,N,Y
R3L0LCRFJKA2PO,1,0,0,N,Y
R1MT06VZTMM985,5,0,1,N,Y
R173PDRMVXTHJ2,1,0,0,N,N
RZS04T2P07HY5,5,3,4,N,Y
R2MV4CBF2JI2J0,1,0,0,N,Y
R3LKX82WG4VO0I,2,1,3,N,Y
R1O33R17XDXDV6,5,1,2,N,Y
R20ZUK910U8WMX,5,2,2,N,Y
R3L8C1PS9T4UIN,5,0,0,N,Y
R3HYWOEHCKMYO2,5,0,0,N,Y
RCGGBPT9TX9BI,5,2,2,N,N
R1AAFZAB3OPJS7,5,0,0,N,Y
